968,16,32
964,18,36
962,19,38
968,16,32
958,21,42
962,19,38
968,16,32
976,12,24
984,8,16
982,9,18
966,17,34
986,7,14
968,16,32
966,17,34
966,17,34
968,16,32
968,16,32
964,18,36
962,19,38
972,14,28
964,18,36
966,17,34
964,18,36
970,15,30
996,2,4
976,12,24
962,19,38
968,16,32
964,18,36
964,18,36
966,17,34
964,18,36
972,14,28
966,17,34
970,15,30
962,19,38
962,19,38
968,16,32
970,15,30
962,19,38
964,18,36
968,16,32
964,18,36
970,15,30
960,20,40
962,19,38
962,19,38
966,17,34
996,2,4
978,11,22
968,16,32
990,5,10
974,13,26
980,10,20
970,15,30
980,10,20
984,8,16
966,17,34
976,12,24
976,12,24
976,12,24
976,12,24
976,12,24
988,6,12
974,13,26
968,16,32
968,16,32
966,17,34
968,16,32
972,14,28
960,20,40
964,18,36
964,18,36
970,15,30
970,15,30
966,17,34
960,20,40
